Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_MKR_1000_WiFi_Socket,Arduino_MKR_1000_WiFi_Socket,99.5,-60.75,180.0,bottom
C1,0.1uF,C_0402_1005Metric,137.25,-210.73,90.0,bottom
C10,100nF,C_0402,217.0,-177.25,180.0,top
C100,4.7nF,C_0402,173.0,-216.5,180.0,top
C101,100nF,C_0402,195.0,-67.25,180.0,top
C102,100nF,C_0402,195.0,-89.25,180.0,top
C103,100nF,C_0402,85.0,-111.25,180.0,top
C104,100nF,C_0402,85.0,-133.25,180.0,top
C105,100nF,C_0402,107.0,-155.25,180.0,top
C106,100nF,C_0402,85.0,-177.25,180.0,top
C107,100nF,C_0402,85.0,-199.25,180.0,top
C108,100nF,C_0402,85.0,-221.25,180.0,top
C109,4.7nF,C_0402,195.0,-62.5,180.0,top
C11,100nF,C_0402,217.0,-199.25,180.0,top
C110,4.7nF,C_0402,195.0,-84.5,180.0,top
C111,4.7nF,C_0402,195.0,-106.5,180.0,top
C112,4.7nF,C_0402,195.0,-128.5,180.0,top
C113,4.7nF,C_0402,195.0,-150.5,180.0,top
C114,4.7nF,C_0402,195.0,-172.5,180.0,top
C115,4.7nF,C_0402,195.0,-194.5,180.0,top
C116,4.7nF,C_0402,195.0,-216.5,180.0,top
C117,100nF,C_0402,217.0,-67.25,180.0,top
C118,100nF,C_0402,217.0,-89.25,180.0,top
C119,100nF,C_0402,63.0,-111.25,180.0,top
C12,100nF,C_0402,217.0,-221.25,180.0,top
C120,100nF,C_0402,63.0,-133.25,180.0,top
C121,100nF,C_0402,85.0,-155.25,180.0,top
C122,100nF,C_0402,63.0,-177.25,180.0,top
C123,100nF,C_0402,63.0,-199.25,180.0,top
C124,100nF,C_0402,63.0,-221.25,180.0,top
C125,4.7nF,C_0402,217.0,-62.5,180.0,top
C126,4.7nF,C_0402,217.0,-84.5,180.0,top
C127,4.7nF,C_0402,217.0,-106.5,180.0,top
C128,4.7nF,C_0402,217.0,-128.5,180.0,top
C129,4.7nF,C_0402,217.0,-150.5,180.0,top
C13,4.7nF,C_0402,63.0,-62.2,180.0,top
C130,4.7nF,C_0402,217.0,-172.5,180.0,top
C131,4.7nF,C_0402,217.0,-194.5,180.0,top
C132,4.7nF,C_0402,217.0,-216.5,180.0,top
C133,100nF,C_0402,71.5,-65.0,90.0,top
C134,100nF,C_0402,225.5,-65.0,90.0,top
C135,100nF,C_0402,181.5,-87.0,90.0,top
C136,100nF,C_0402,137.5,-109.0,90.0,top
C137,100nF,C_0402,71.5,-131.0,90.0,top
C138,100nF,C_0402,71.5,-153.0,90.0,top
C139,100nF,C_0402,181.5,-153.0,90.0,top
C14,4.7nF,C_0402,63.0,-84.5,180.0,top
C140,100nF,C_0402,137.5,-175.0,90.0,top
C141,100nF,C_0402,225.5,-197.0,90.0,top
C142,100nF,C_0402,181.5,-219.0,90.0,top
C143,100nF,C_0402,181.5,-175.0,90.0,top
C144,100nF,C_0402,93.5,-65.0,90.0,top
C145,100nF,C_0402,71.5,-87.0,90.0,top
C146,100nF,C_0402,203.5,-87.0,90.0,top
C147,100nF,C_0402,159.5,-109.0,90.0,top
C148,100nF,C_0402,93.5,-131.0,90.0,top
C149,100nF,C_0402,93.5,-153.0,90.0,top
C15,4.7nF,C_0402,63.0,-106.5,180.0,top
C150,100nF,C_0402,203.5,-153.0,90.0,top
C151,100nF,C_0402,159.5,-175.0,90.0,top
C152,100nF,C_0402,71.5,-219.0,90.0,top
C153,100nF,C_0402,225.5,-219.0,90.0,top
C154,100nF,C_0402,203.5,-219.0,90.0,top
C155,100nF,C_0402,115.5,-65.0,90.0,top
C156,100nF,C_0402,93.5,-87.0,90.0,top
C157,100nF,C_0402,225.5,-87.0,90.0,top
C158,100nF,C_0402,181.5,-109.0,90.0,top
C159,100nF,C_0402,115.5,-131.0,90.0,top
C16,4.7nF,C_0402,63.0,-128.5,180.0,top
C160,100nF,C_0402,115.5,-153.0,90.0,top
C161,100nF,C_0402,225.5,-153.0,90.0,top
C162,100nF,C_0402,137.5,-197.0,90.0,top
C163,100nF,C_0402,93.5,-219.0,90.0,top
C164,100nF,C_0402,93.5,-197.0,90.0,top
C165,100nF,C_0402,203.5,-175.0,90.0,top
C166,100nF,C_0402,159.5,-65.0,90.0,top
C167,100nF,C_0402,115.5,-87.0,90.0,top
C168,100nF,C_0402,71.5,-109.0,90.0,top
C169,100nF,C_0402,203.5,-109.0,90.0,top
C17,4.7nF,C_0402,63.0,-150.5,180.0,top
C170,100nF,C_0402,159.5,-131.0,90.0,top
C171,100nF,C_0402,137.5,-131.0,90.0,top
C172,100nF,C_0402,71.5,-175.0,90.0,top
